cps,MAPE,std,series
0.001,7.64,5.65,United States
0.01,8.1,5.44,United States
0.05,7.28,6.32,United States
0.1,4.6,3.25,United States
0.2,4.66,3.83,United States
0.5,4.41,3.51,United States
0.7,4.56,3.41,United States
1.0,4.73,3.27,United States
2.0,5.0,3.23,United States
0.001,13.16,7.55,California
0.01,9.84,8.91,California
0.05,13.99,6.58,California
0.1,11.27,5.87,California
0.2,9.95,5.32,California
0.5,9.16,6.15,California
0.7,9.18,6.21,California
1.0,9.07,6.34,California
2.0,9.23,6.81,California
