cutoff_idx,cutoff_date,prophet_flex_MAPE,persistence_MAPE,mean_abs_diff_yhat_vs_persist,prophet_beats_persist,series
900,2025-03-13,1.26,5.63,0.8737,True,United States
930,2025-04-12,7.59,4.95,0.5921,False,United States
960,2025-05-12,4.2,8.46,1.3215,True,United States
990,2025-06-11,2.65,3.27,0.5264,True,United States
1020,2025-07-11,3.35,1.78,0.3615,False,United States
1050,2025-08-10,2.57,4.19,0.3547,True,United States
1080,2025-09-09,2.29,3.42,0.4725,True,United States
1110,2025-10-09,1.33,3.65,0.4356,True,United States
1140,2025-11-08,1.63,6.92,0.6654,True,United States
1170,2025-12-08,15.05,6.06,2.5005,False,United States
1200,2026-01-07,5.95,9.28,0.6473,True,United States
1230,2026-02-06,4.01,5.97,0.6783,True,United States
1260,2026-03-08,5.65,6.02,0.4748,True,United States
1290,2026-04-07,1.31,3.52,0.5278,True,United States
1320,2026-05-07,7.34,2.41,0.769,False,United States
900,2025-03-13,12.59,4.51,1.4257,False,California
930,2025-04-12,2.68,6.36,0.7789,True,California
960,2025-05-12,6.15,10.67,1.5545,True,California
990,2025-06-11,6.52,3.94,1.012,False,California
1020,2025-07-11,6.44,4.04,0.6331,False,California
1050,2025-08-10,5.69,2.71,0.5968,False,California
1080,2025-09-09,6.76,3.09,0.8442,False,California
1110,2025-10-09,7.45,3.58,0.7274,False,California
1140,2025-11-08,11.52,5.87,1.8949,False,California
1170,2025-12-08,22.96,6.82,3.5776,False,California
1200,2026-01-07,23.52,2.92,3.4314,False,California
1230,2026-02-06,1.98,3.1,0.5913,True,California
1260,2026-03-08,9.73,3.75,1.2144,False,California
1290,2026-04-07,7.87,3.3,1.1851,False,California
1320,2026-05-07,5.46,4.95,1.0533,False,California
