series,cutoff_idx,cutoff_date,cps,trend_roughness_last90d
United States,900,2025-03-13,0.001,0.0
United States,900,2025-03-13,0.5,0.0
United States,1110,2025-10-09,0.001,0.0
United States,1110,2025-10-09,0.5,0.0
United States,1320,2026-05-07,0.001,0.0
United States,1320,2026-05-07,0.5,0.0
California,900,2025-03-13,0.001,0.0
California,900,2025-03-13,0.5,0.0
California,1110,2025-10-09,0.001,0.0
California,1110,2025-10-09,0.5,0.0
California,1320,2026-05-07,0.001,0.0
California,1320,2026-05-07,0.5,0.0
